Source	Target
Zanzotto2010EstimatingLinearModels	Kalchbrenner2014AConvolutionalNeural
Zettlemoyer2005LearningToMap	Kalchbrenner2014AConvolutionalNeural
Kalchbrenner2014AConvolutionalNeural	Guzmn2017MachineTranslationEvaluation
Kalchbrenner2014AConvolutionalNeural	Sun2017AReviewOf
Kalchbrenner2014AConvolutionalNeural	Gui2017LearningRepresentationsFrom
Kalchbrenner2014AConvolutionalNeural	Pasi2017EffectOfParameter
Kalchbrenner2014AConvolutionalNeural	Chen2017ImprovingSentimentAnalysis
Kalchbrenner2014AConvolutionalNeural	Wu2017ADeepLearning
Kalchbrenner2014AConvolutionalNeural	Koomsubha2017ACharacterlevelConvolutional
Kalchbrenner2014AConvolutionalNeural	Sheikh2017ModellingSemanticContext
Kalchbrenner2014AConvolutionalNeural	Li2017LstmbasedDeepLearning
Kalchbrenner2014AConvolutionalNeural	Vilares2017UniversalUnsupervisedRulebased
Kalchbrenner2014AConvolutionalNeural	Dernoncourt2017OptimizingNeuralNetwork
Kalchbrenner2014AConvolutionalNeural	Bouaziz2017ImprovingMultistreamClassification
Kalchbrenner2014AConvolutionalNeural	Zhao2017TopicawareDeepCompositional
Kalchbrenner2014AConvolutionalNeural	De2017IncrementalKnowledgeBase
Kalchbrenner2014AConvolutionalNeural	Chaturvedi2017BayesianDeepConvolution
Kalchbrenner2014AConvolutionalNeural	Winkler2017AutomaticClassificationOf
Kalchbrenner2014AConvolutionalNeural	Zhou2017CompositionalRecurrentNeural
Kalchbrenner2014AConvolutionalNeural	Zhining2017CombiningStatisticsbasedAnd
Kalchbrenner2014AConvolutionalNeural	Jurczyk2017SelqaANew
Kalchbrenner2014AConvolutionalNeural	Zhou2017DisambiguatingNamedEntities
Kalchbrenner2014AConvolutionalNeural	Jia2017DynamicConvolutionalNeural
Kalchbrenner2014AConvolutionalNeural	Kim2017ApplyingAConvolutional
Kalchbrenner2014AConvolutionalNeural	Cohan2017ANeuralAttention
Kalchbrenner2014AConvolutionalNeural	Dernoncourt2017DeidentificationOfPatient
